obs,tic,conm_x,gvkey,CrossVerified_ExecType,DirectorName,Ethnicity,Race(black),BE_fromBermissData,ceo_black_discrepancy,Minority,Gender,Female,Num_Black_TMT,TMT_Active_in_2020 (Manual Check),BlackCEO_Appointment_date (within the timeframe),DirectorName_source
304,DOV,DOVER CORP,4058,CEO,Rich Tobin,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
306,DTE,DTE ENERGY CO,3897,CEO,Jerry Norcia,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
305,DTE,DTE ENERGY CO,3897,TMT,Gerry Anderson,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
307,DUK,DUKE ENERGY CORP,4093,CEO,Lynn Good,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
308,DRE,DUKE REALTY CORP,13510,CEO,Jim Connor,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
309,DXC,DXC TECHNOLOGY CO,3336,CEO,Mike Salvino,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
310,EMN,EASTMAN CHEMICAL CO,29392,CEO,Mark Costa,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
311,ECL,ECOLAB INC,4213,CEO,Doug Baker Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
602,EIX,EDISON INTERNATIONAL,9846,CEO,Pedro Pizarro,Hispanic/Latino,0,,0,1,M,0,0,Yes,,3BoardEx
312,EW,EDWARDS LIFESCIENCES CORP,133366,CEO,Mike Mussallem,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
313,EW,EDWARDS LIFESCIENCES CORP,133366,CEO,Nick DeMare,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
314,EA,ELECTRONIC ARTS INC,16721,CEO,Andrew Wilson,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
315,ELV,ELEVANCE HEALTH INC,145046,CEO,Gail Boudreaux,Caucasian/White,0,,0,0,F,1,0,Yes,,3BoardEx
316,EMR,EMERSON ELECTRIC CO,4321,CEO,David Farr,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
84,ENPH,ENPHASE ENERGY INC,187450,CEO,Badri Kothandaraman,Asian/Indian,0,,0,1,M,0,0,Yes,,3BoardEx
69,ETR,ENTERGY CORP,7366,CEO,Gordon Lam,Asian,0,1,1,1,M,0,2,Yes,,3BoardEx
129,ETR,ENTERGY CORP,7366,CEO,Leo Denault,Caucasian/White,0,1,1,0,M,0,2,Yes,,3BoardEx
23,ETR,ENTERGY CORP,7366,TMT,Marcus Brown,African American/Black,1,1,0,1,M,0,2,Yes,,2Bermiss
24,ETR,ENTERGY CORP,7366,TMT,Roderick West,African American/Black,1,1,0,1,M,0,2,Yes,,2Bermiss
128,ETR,ENTERGY CORP,7366,TMT,Fiore Aliperti,Caucasian/White,0,1,1,0,M,0,2,Yes,,3BoardEx
