num,tic,conm_x,gvkey,ceo_minority,ethnicity (from boardex),ceo_name,ceo_race(black),First,Last,Company,AnnDate,BE
249,ELV,ELEVANCE HEALTH INC,145046,0,CAUCASIAN/WHITE,,,,,,,
250,LLY,LILLY (ELI) & CO,6730,0,CAUCASIAN/WHITE,,,Derica,Rice,Eli Lilly and Co.,5/6/13,1
250,LLY,LILLY (ELI) & CO,6730,0,CAUCASIAN/WHITE,,,Derica,Rice,Eli Lilly,12/18/09,1
250,LLY,LILLY (ELI) & CO,6730,0,CAUCASIAN/WHITE,,,Derica,Rice,Eli Lilly,2/23/06,1
251,SPG,SIMON PROPERTY GROUP INC,29389,0,CAUCASIAN/WHITE,,,,,,,
252,AZO,AUTOZONE INC,23809,0,CAUCASIAN/WHITE,,,,,,,
253,FDX,FEDEX CORP,4598,0,CAUCASIAN/WHITE,,,,,,,
254,IP,INTL PAPER CO,6104,0,CAUCASIAN/WHITE,,,,,,,
255,MAA,MID-AMERICA APT CMNTYS INC,29649,0,CAUCASIAN/WHITE,,,,,,,
256,DG,DOLLAR GENERAL CORP,4016,0,CAUCASIAN/WHITE,,,,,,,
257,HCA,HCA HEALTHCARE INC,22260,0,CAUCASIAN/WHITE,,,,,,,
258,CTXS,CITRIX SYSTEMS INC,61676,0,CAUCASIAN/WHITE,,,,,,,
