obs,tic,gvkey,conm_x,CrossVerified_ExecType,DirectorName,Ethnicity,Race(black),BE_fromBermissData,Actual_Bermiss_discrepancy,Minority,Gender,Female,Num_Black_TMT,Active2020,CEO_Appointment_date_within_2020,DirectorName_source
106,COP,8549,CONOCOPHILLIPS,CEO,Ryan Lance,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
107,ED,3413,CONSOLIDATED EDISON INC,CEO,John McAvoy,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
108,STZ,2710,CONSTELLATION BRANDS,CEO,Bill Newlands Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
109,COO,3504,COOPER COS INC (THE),CEO,Al White III,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
110,CPRT,29901,COPART INC,CEO,Jay Adair,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
111,CTVA,35168,CORTEVA INC,CEO,Jim Collins Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
112,CSGP,112111,COSTAR GROUP INC,CEO,Andy Florance,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
113,COST,29028,COSTCO WHOLESALE CORP,CEO,W Jelinek,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
114,CTRA,20548,COTERRA ENERGY INC,CEO,Dan Dinges,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
115,CCI,113490,CROWN CASTLE INC,CEO,Jay Brown,African American/Black,1,,1,1,M,0,1,Yes,,BoardEx
116,CSX,23456,CSX CORP,CEO,Jim Foote,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
117,CMI,3650,CUMMINS INC,CEO,Tom Linebarger,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
118,CVS,7241,CVS HEALTH CORP,CEO,Larry Merlo,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
119,DHR,3735,DANAHER CORP,CEO,Tom Joyce Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
120,DRI,31846,DARDEN RESTAURANTS INC,CEO,Gene Lee Jr,Caucasian/White,0,1,1,0,M,0,1,Yes,,BoardEx
121,DVA,61483,DAVITA INC,CEO,Javier Rodriguez,Hispanic/Latino,0,,0,1,M,0,0,Yes,,BoardEx
122,DE,3835,DECISIVE DIVIDEND CORP,CEO,James Paterson,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
123,DCO,6255,DEERE & CO,CEO,John May,Caucasian/White,0,,0,0,M,0,0,No,,BoardEx
124,DAL,3851,DELTA AIR LINES INC,CEO,Ed Bastian,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
125,XRAY,13700,DENTSPLY SIRONA INC,CEO,Don Casey Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
126,DVN,14934,DEVON ENERGY CORP,CEO,Dave Hager,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
127,DXCM,162887,DEXCOM INC,CEO,Kevin Sayer,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
128,FANG,170750,DIAMONDBACK ENERGY INC,CEO,Travis Stice,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
129,DLR,160991,DIGITAL REALTY TRUST INC,CEO,Bill Stein,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
130,DFS,177376,DISCOVER FINANCIAL SVCS,CEO,Roger Hochschild,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
131,DG,4016,DOLLAR GENERAL CORP,CEO,Todd Vasos,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
