obs,coid,tic,conm_x,gvkey,ceo_name,ceo_race(black)_manual check,ceo_ethnicity_manual check,,ceo_minority,ceo_gender,ceo_female,ceo_active_2020_may26_dec31,firm_multiple_ceos_may26_dec31,firm_coceo_2020,firm_ceo_change_2020_may26_dec31,firm_ceo_change_date_2020,ceo_in_or_out_2020,DateStartRole_boardex,DateEndRole_boardex,Actual_Bermiss_discrepancy,RoleName_boardex,Interim_boardex,ethnicity_boardex (for comparison with ceo_ethnicity column)
82,82,SJM,SMUCKER (JM) CO,9777,Mark Smucker,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/1/16,8/17/22,0,President/CEO,0,CAUCASIAN/WHITE
83,83,TFX,TELEFLEX INC,10407,Liam Kelly,0,Caucasian/White,,0,M,0,0,0,0,0,,,5/4/18,5/1/20,0,President/CEO,0,CAUCASIAN/WHITE
84,84,CERN,CERNER CORP,12850,D Shafer,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/1/18,10/1/21,0,Chairman/CEO,0,PREFER NOT TO DISCLOSE
85,85,GLW,CORNING INC,3532,Wendell P. Weeks,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/5/24,,0,,0,CAUCASIAN/WHITE
86,86,CMI,CUMMINS INC,3650,Tom Linebarger,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/12,8/1/22,0,Chairman/CEO,0,CAUCASIAN/WHITE
87,87,TSCO,TRACTOR SUPPLY CO,29736,Hal Lawton,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/13/20,,0,,0,CAUCASIAN/WHITE
88,88,LUMN,LUMEN TECHNOLOGIES INC,2884,Jeff Storey,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/23/18,11/7/22,0,President/CEO,0,CAUCASIAN/WHITE
89,89,CINF,CINCINNATI FINANCIAL CORP,14824,Steve Johnston,0,Caucasian/White,,0,M,0,0,0,0,0,,,5/2/11,5/2/20,0,President/CEO,0,CAUCASIAN/WHITE
90,90,ANSS,ANSYS INC,63080,Doctor Ajei Gopal,0,Asian/Indian,,1,M,0,1,0,0,0,,,1/1/17,,0,President/CEO,0,INDIAN/SOUTH ASIAN
91,91,VTRS,VIATRIS INC,7637,Michael Goettler,0,Caucasian/White,,0,M,0,1,0,0,0,,,11/16/20,,0,,0,CAUCASIAN/WHITE
92,92,FISV,FISERV INC,12635,"Jeffrey W. Yabuki, Frank J. Bisignano",0,Asian/Japanese,,0,M,0,1,1,0,1,7/1/20,,7/1/20,,0,,0,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN)
