1+2num,CompanyID,1num,tic,1conm_x,3CompanyName,gvkey,1ceo_minority,1ethnicity (from boardex),1ceo_name,3DirectorName,3FirstName,3LastName,1ceo_race(black),3RoleType,3RoleName,3Seniority,2020_Active_May26_Dec31,3DateStartRole,3DateEndRole,2020_CEO_Change,2020_2CEOs,X3num,X3CompanyID,X3DirectorID
36,36,90,ANSS,ANSYS INC,ANSYS INC,63080,1,INDIAN/SOUTH ASIAN,NA,Doctor Ajei Gopal,Ajei,Gopal,NA,CEO,President/CEO,Executive Director,Yes,1/1/17,,,,31,2257,545851
37,37,300,AOS,SMITH (A.O.),SMITH (AO) CORP,9771,0,CAUCASIAN/WHITE,NA,Kevin Wheeler,Kevin,Wheeler,NA,CEO,President/CEO,Executive Director,No,9/1/18,5/1/20,,,32,28304,1302544
38,38,146,APA,APA CORP,APA CORP (Apache Corp prior to 03/2021),1678,0,CAUCASIAN/WHITE,NA,John Christmann IV,John,Christmann IV,NA,CEO,President/CEO,Executive Director,Yes,1/20/15,1/1/24,,,33,2307,535064
39,39,124,APD,AIR PRODUCTS & CHEMICALS INC,AIR PRODUCTS & CHEMICALS INC,1209,1,MIDDLE-EASTERN/NORTH AFRICAN,NA,Seifi Ghasemi,Seifi,Ghasemi,NA,CEO,Chairman/President/CEO,Executive Director,Yes,7/1/14,,,,34,1173,24391
40,40,189,APH,AMPHENOL CORP,AMPHENOL CORP,14282,0,CAUCASIAN/WHITE,NA,Richard Norwitt,Richard,Norwitt,NA,CEO,President/CEO,Executive Director,Yes,1/5/09,,,,35,2100,496788
41,41,326,ARE,ALEXANDRIA R E EQUITIES INC,,64821,0,CAUCASIAN/WHITE,Peter Moglia,Jean-Louis Servranckx,Peter,Moglia,0,CEO,Co-CEO/CIO,Executive Director,Yes,4/1/18,,,,36,72259,1206037
41,41,326,ARE,ALEXANDRIA R E EQUITIES INC,,64821,0,CAUCASIAN/WHITE,Stephen Richardson,Jean-Louis Servranckx,Stephen,Richardson,0,CEO,Co-CEO,Executive Director,Yes,4/1/18,7/1/22,,,36,72259,1206037
42,42,263,ATO,ATMOS ENERGY CORP,ATMOS ENERGY CORP,4383,0,CAUCASIAN/WHITE,NA,John Akers,John,Akers,NA,CEO,President/CEO,Executive Director,Yes,10/1/19,,,,37,2963,806085
43,43,327,ATVI,ACTIVISION BLIZZARD INC,ACTIVISION BLIZZARD INC (De-listed 10/2023),180405,0,CAUCASIAN/WHITE,NA,Bobby Kotick,Bobby,Kotick,NA,CEO,CEO,Executive Director,Yes,6/26/17,10/13/23,,,38,725,69696
44,44,78,AVB,AVALONBAY COMMUNITIES INC,AVALONBAY COMMUNITIES INC,29875,0,CAUCASIAN/WHITE,NA,Tim Naughton,Tim,Naughton,NA,CEO,Chairman/President/CEO,Executive Director,Yes,5/22/13,2/1/21,,,39,3169,204883
45,45,351,AVGO,BROADCOM INC,BROADCOM INC (Broadcom Ltd prior to 04/2018),180711,1,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN),NA,Hock Tan,Hock,Tan,NA,CEO,President/CEO,Executive Director,Yes,8/6/09,,,,40,817439,102722
46,46,328,AVY,AVERY DENNISON CORP,AVERY DENNISON CORP,1913,0,CAUCASIAN/WHITE,NA,Mitch Butier,Mitch,Butier,NA,CEO,Chairman/President/CEO,Executive Director,Yes,4/25/19,2/28/22,,,41,3210,530989
48,48,450,AXP,AMERICAN EXPRESS CO,AMERICAN EXPRESS CO,1447,0,CAUCASIAN/WHITE,NA,Steve Squeri,Steve,Squeri,NA,CEO,Chairman/CEO,Executive Director,Yes,2/1/18,,,,42,1815,455385
49,49,251,AZO,AUTOZONE INC,AUTOZONE INC,23809,0,CAUCASIAN/WHITE,NA,Bill Rhodes III,Bill,Rhodes III,NA,CEO,Chairman/President/CEO,Executive Director,Yes,6/6/07,1/2/24,,,43,3154,49966
51,51,28,BAC,BANK OF AMERICA CORP,BANK OF AMERICA CORP,7647,0,CAUCASIAN/WHITE,NA,Brian Moynihan,Brian,Moynihan,NA,CEO,Chair/President/CEO,Executive Director,Yes,10/1/14,,,,44,4504,35043
52,52,183,BALL,BALL CORP,BALL CORP,1988,0,CAUCASIAN/WHITE,NA,John Hayes,John,Hayes,NA,CEO,Chairman/President/CEO,Executive Director,Yes,4/24/13,1/1/21,,,45,3439,456592
53,53,221,BAX,BAXTER INTERNATIONAL INC,BAXTER INTERNATIONAL INC,2086,1,HISPANIC/LATIN AMERICAN,NA,Joe Almeida,Joe,Almeida,NA,CEO,Chairman/President/CEO,Executive Director,Yes,1/1/16,,,,46,3684,327852
54,54,260,BBWI,BATH & BODY WORKS INC,BATH & BODY WORKS INC (L Brands Inc prior to 08/2021),6733,0,CAUCASIAN/WHITE,NA,Leslie Wexner,Leslie,Wexner,NA,CEO,Chairman/CEO,Executive Director,No,1/1/02,5/14/20,,,49,18892,53436
55,55,305,BBY,BEST BUY CO INC,BEST BUY CO INC,2184,0,CAUCASIAN/WHITE,NA,Corie Barry,Corie,Barry,NA,CEO,CEO,Executive Director,Yes,6/11/19,,,,50,4118,1713009
58,58,194,BF.B,BROWN FORMAN CORP,BROWN FORMAN CORP,2435,0,CAUCASIAN/WHITE,NA,Lawson Whiting,Lawson,Whiting,NA,CEO,President/CEO,Executive Director,Yes,3/28/19,,,,51,5210,1113025
59,59,490,BG,BUNGE LTD,BUNGE GLOBAL SA (Bunge Ltd prior to 11/2023),144435,0,CAUCASIAN/WHITE,NA,Greg Heckman,Greg,Heckman,NA,CEO,CEO,Executive Director,Yes,4/25/19,,,,52,5320,500231
60,60,314,BIIB,BIOGEN INC,BIOGEN INC (Biogen Idec Inc prior to 03/2015),24468,0,CAUCASIAN/WHITE,NA,Michel Vounatsos,Michel,Vounatsos,NA,CEO,CEO,Executive Director,Yes,1/6/17,11/14/22,,,53,440155,1694109
61,61,338,BIO,BIO-RAD LABORATORIES INC,BIO RAD LABORATORIES INC,2220,0,CAUCASIAN/WHITE,NA,Norman Schwartz,Norman,Schwartz,NA,CEO,Chairman/President/CEO,Executive Director,Yes,1/1/12,,,,54,4311,181631
