"coid","tic","conm_x","gvkey","ceo_name","2First.x","2Last.x","ceo_ethnicity","ceo_race(black)","ceo_minority","ceo_gender","ceo_female","2020_active","2020_active_may26_dec31","2020_two_ceos","2020_co-ceo","2020_ceo_change","2020_ceo_change_date","2020_in_or_out","ethnicity_boardex","BE_from_bermiss","Actual_Bermiss_discrepancy","RoleType_boardex","RoleName_boardex","Interim_boardex","DateStartRole_boardex","DateEndRole_boardex","2First.y","2Last.y"
276,"T","AT&T INC",9899,"Randall Stephenson Jr",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,1,"6/30/20","outgoing","CAUCASIAN/WHITE",1,1,"CEO","Chairman/CEO",0,"1/1/07","6/30/20",NA,NA
263,"ATO","ATMOS ENERGY CORP",4383,"John Akers",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"10/1/19",NA,NA,NA
441,"ADSK","AUTODESK INC",1878,"Doctor Andrew Anagnost",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"6/19/17","1/19/21",NA,NA
408,"ADP","AUTOMATIC DATA PROCESSING",1891,"Carlos Rodriguez",NA,NA,"Hispanic/Latino",0,1,"M",0,1,1,0,0,0,NA,NA,"HISPANIC/LATIN AMERICAN",NA,0,"CEO","President/CEO",0,"11/8/11","1/1/22",NA,NA
251,"AZO","AUTOZONE INC",23809,"Bill Rhodes III",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"6/6/07","1/2/24",NA,NA
78,"AVB","AVALONBAY COMMUNITIES INC",29875,"Tim Naughton",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"5/22/13","2/1/21",NA,NA
328,"AVY","AVERY DENNISON CORP",1913,"Mitch Butier",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"4/25/19","2/28/22",NA,NA
147,"BKR","BAKER HUGHES CO",32106,"Lorenzo Simonelli",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"10/2/17",NA,NA,NA
183,"BALL","BALL CORP",1988,"John Hayes",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"4/24/13","1/1/21",NA,NA
28,"BAC","BANK OF AMERICA CORP",7647,"Brian Moynihan",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chair/President/CEO",0,"10/1/14",NA,NA,NA
451,"BK","BANK OF NEW YORK MELLON CORP",2019,"Thomas P. Gibbons",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"3/1/20","8/1/22",NA,NA
221,"BAX","BAXTER INTERNATIONAL INC",2086,"Joe Almeida",NA,NA,"Hispanic/Latino",0,1,"M",0,1,1,0,0,0,NA,NA,"HISPANIC/LATIN AMERICAN",NA,0,"CEO","Chairman/President/CEO",0,"1/1/16",NA,NA,NA
