2num,2first,last,2Company,2AnnDate,gvkey,2permno,2ExecType,2BE,2Confounded,2Interim,2Female,2DirectorName,2Gender
60,Bradbury,Anderson,Best Buy,2/25/02,2184,85914,CEO,0,0,0,0,Bradbury Anderson,M
61,Sherry,Bahrambeygui,PriceSmart,1/31/19,65343,85394,CEO,0,1,0,1,Sherry Bahrambeygui,F
62,Michael,Barry,Quaker Chemical Corporpation,5/7/08,8850,64929,CEO,0,1,0,0,Michael Barry,M
63,Todd,Becker,Green Plains Renewable Energy,12/22/08,166576,91161,CEO,0,0,0,0,Todd Becker,M
64,Friedhelm,Blobel,Sciclone Pharmaceuticals,4/24/06,25047,77413,CEO,0,0,0,0,Friedhelm Blobel,M
65,Mark,Capone,Myriad Genetics,2/3/15,61399,82508,CEO,0,0,0,0,Mark Capone,M
66,Greg,Carmichael,Fifth Third Bancorp,7/8/15,4640,34746,CEO,0,0,0,0,Greg Carmichael,M
67,Steven,Cosse,Murphy Oil Corporation,6/20/12,7620,28345,CEO,0,0,0,0,Steven Cosse,M
68,Patrick,Coyne,Delaware Investments Dividend and Income Fund,8/1/06,27963,79036,CEO,0,0,0,0,Patrick Coyne,M
69,Alec,Cunningham,Wellcare Health Plans,12/21/09,260778,90272,CEO,0,0,0,0,Alec Cunningham,M
70,Joseph,Darling,Anika Therapeutics,3/5/18,28209,79150,CEO,0,0,0,0,Joseph Darling,M
71,David,Dickson,Mcdermott International,10/17/13,7152,64629,CEO,0,1,0,0,David Dickson,M
72,Brian,Driscoll,Snyder's-Lance,4/17/17,6574,48531,CEO,0,1,1,0,Brian Driscoll,M
73,Thomas,Edman,TTM Technologies,10/30/13,139804,88648,CEO,0,0,0,0,Thomas Edman,M
74,Michael,Eskew,United Parcel Service,8/16/01,10920,87447,CEO,0,0,0,0,Michael Eskew,M
75,Donald,Felsinger,Sempra Energy,12/7/05,8272,86136,CEO,0,0,0,0,Donald Felsinger,M
76,Olivier,Filliol,Mettler-Toledo International,11/1/07,65772,85621,CEO,0,0,0,0,Olivier Filliol,M
77,Larry,Franklin,"Harte-Hanks,Inc",12/15/08,12545,79903,CEO,0,0,1,0,Larry Franklin,M
78,Scott,Freidheim,CDI Corporation,8/13/14,2538,45655,CEO,0,0,0,0,Scott Freidheim,M
79,Andrew,Gatto,Russ Berrie and Co.,4/12/04,9289,66050,CEO,0,1,0,0,Andrew Gatto,M
80,John,Gibson,"ONEOK, Inc.",11/16/06,8151,25232,CEO,0,1,0,0,John Gibson,M
81,Shira,Goodman,"Staples, Inc.",9/26/16,15521,75489,CEO,0,0,0,1,Shira Goodman,F
82,Jeffrey,Harmening,General Mills,5/3/17,5071,17144,CEO,0,0,0,0,Jeffrey Harmening,M
83,Lawrence,Hebert,Riggs National Corporation,3/9/05,9142,66967,CEO,0,0,0,0,Lawrence Hebert,M
84,Bradley,Jacobs,XPO Logistics,9/2/11,144998,90175,CEO,0,1,0,0,Bradley Jacobs,M
85,Nicholas,Konidaris,Electro Scienti_c Industries,1/7/04,4274,32054,CEO,0,0,0,0,Nicholas Konidaris,M
86,Michael,Lamach,Ingersoll-Rand PLC,2/4/10,5959,12431,CEO,0,0,0,0,Michael Lamach,M
87,Michael,Macdonald,"Medifast, Inc.",2/2/12,29517,80054,CEO,0,0,0,0,Michael Macdonald,M
88,Christopher,Martin,Provident Financial Services,2/27/09,150279,89653,CEO,0,0,0,0,Christopher Martin,M
89,Joseph,McGrath,Unisys Corporation,10/22/04,2504,10890,CEO,0,0,0,0,Joseph McGrath,M
90,C. Douglas,McMillon,Wal-Mart Stores,11/25/13,11259,55976,CEO,0,0,0,0,C. Douglas McMillon,M
