coid,tic,conm_x,gvkey,ceo_name,ceo_ethnicity,ceo_race(black),ceo_minority,ceo_gender,ceo_female,2020_active,2020_active_may26_dec31,2020_two_ceos,2020_co-ceo,2020_ceo_change,2020_ceo_change_date,2020_in_or_out,ethnicity_boardex,BE_from_bermiss,Actual_Bermiss_discrepancy,RoleType_boardex,RoleName_boardex,Interim_boardex,DateStartRole_boardex,DateEndRole_boardex,,,,,
329,DIS,DISNEY (WALT) CO,3980,Robert A. Iger,Caucasian/White,0,0,M,0,1,0,0,0,1,Feb-20,outgoing,CAUCASIAN/WHITE,,0,CEO,,0,10/5/24,2/25/20,,,,,
141,BRK.B,BERKSHIRE HATHAWAY,2176,Warren Buffett,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/CEO,0,1/1/70,,,,,,
305,BBY,BEST BUY CO INC,2184,Corie Barry,Caucasian/White,0,0,F,1,1,1,0,0,0,,,CAUCASIAN/WHITE,0,0,CEO,CEO,0,6/11/19,,,,,,
338,BIO,BIO-RAD LABORATORIES INC,2220,Norman Schwartz,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/President/CEO,0,1/1/12,,,,,,
314,BIIB,BIOGEN INC,24468,Michel Vounatsos,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,CEO,0,1/6/17,11/14/22,,,,,
452,BLK,BLACKROCK INC,124434,Larry Fink,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/CEO,0,1/1/98,,,,,,
378,BA,BOEING CO,2285,David L. Calhoun,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,CEO,1,,,,,,,
234,BKNG,BOOKING HOLDINGS INC,119314,Glenn Fogel,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,President/CEO/Division CEO,0,6/26/19,,,,,,
171,BWA,BORGWARNER INC,28742,Frederic Lissalde,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,President/CEO,0,8/1/18,,,,,,
432,BXP,BOSTON PROPERTIES INC,64925,Owen Thomas,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,CEO,0,4/2/13,5/19/22,,,,,
315,BSX,BOSTON SCIENTIFIC CORP,25279,Mike Mahoney,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/President/CEO,0,5/3/16,,,,,,
453,BMY,BRISTOL-MYERS SQUIBB CO,2403,Doctor Giovanni Caforio,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/CEO,0,5/2/17,11/1/23,,,,,
351,AVGO,BROADCOM INC,180711,Hock Tan,Asian/Malaysian,0,1,M,0,1,1,0,0,0,,,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN),,0,CEO,President/CEO,0,8/6/09,,,,,,
137,BR,BROADRIDGE FINANCIAL SOLUTNS,176928,Timothy C. Gokey,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,,0,1/2/19,,,,,,
194,BF.B,BROWN FORMAN CORP,2435,Lawson Whiting,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,President/CEO,0,3/28/19,,,,,,
490,BG,BUNGE LTD,144435,Greg Heckman,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,CEO,0,4/25/19,,,,,,
306,CHRW,C H ROBINSON WORLDWIDE INC,65609,Bob Biesterfeld Jr,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,President/CEO,0,5/9/19,12/31/22,,,,,
352,CDNS,CADENCE DESIGN SYSTEMS INC,13421,Lip-Bu Tan,Asian/Malaysian,0,1,M,0,1,1,0,0,0,,,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN),,0,CEO,CEO,0,11/16/17,12/15/21,,,,,
